ACTB	NM_001101.3
ACTG1	NM_001199954.1
AKT3	NM_005465.4
ARFGEF2	NM_006420.2
ARX	NM_139058.2
ASPM	NM_018136.4
CASK	NM_003688.3
CCND2	NM_001759.3
COL4A1	NM_001845.4
DCX	NM_000555.3
DYNC1H1	NM_001376.4
FKRP	NM_001039885.2
FKTN	NM_001079802.1
FLNA	NM_001456.3
GPR56	NM_001145771.1
GPSM2	NM_013296.4
ISPD	NM_001101426.3
KIAA1279	NM_015634.3
LAMA2	NM_000426.3
LAMB1	NM_002291.2
LAMC3	NM_006059.3
LARGE	NM_004737.4
NDE1	NM_001143979.1
OCLN	NM_002538.3
OPHN1	NM_002547.2
PAFAH1B1	NM_000430.3
PIK3CA	NM_006218.2
PIK3R2	NM_005027.3
POMGNT1	NM_017739.3
POMT1	NM_007171.3
POMT2	NM_013382.5
RELN	NM_005045.3
SRPX2	NM_014467.2
TMEM5	NM_014254.2
TUBA1A	NM_006009.3
TUBA8	NM_018943.2
TUBB2A	NM_001069.2
TUBB2B	NM_178012.4
TUBB3	NM_006086.3
TUBB4A	NM_006087.2
TUBG1	NM_001070.4
VLDLR	NM_003383.3
WDR62	NM_001083961.1
