ALDH7A1	NM_001202404.1
ARHGEF9	NM_001173479.1
ARX	NM_139058.2
BTD	NM_000060.2
CDKL5	NM_003159.2
CHD2	NM_001271.3
CNTNAP2	NM_014141.5
FOXG1	NM_005249.4
GABRB3	NM_000814.5
GABRG2	NM_198903.2
GLUD1	NM_005271.3
GRIN2B	NM_000834.3
HCN1	NM_021072.3
KCNQ2	NM_172107.2
MAPK10	NM_002753.3
MECP2	NM_001110792.1
MEF2C	NM_002397.4
NRXN1	NM_001135659.1
PCDH19	NM_001184880.1
PLCB1	NM_015192.3
PNKP	NM_007254.3
PNPO	NM_018129.3
POLG	NM_002693.2
SCN1A	NM_001165963.1
SCN2A	NM_021007.2
SCN8A	NM_014191.3
SCN9A	NM_002977.3
SLC25A22	NM_001191061.1
SLC2A1	NM_006516.2
SLC9A6	NM_001042537.1
SPTAN1	NM_001130438.2
STXBP1	NM_003165.3
SYNGAP1	NM_006772.2
TCF4	NM_003199.2
UBE3A	NM_000462.3
ZEB2	NM_014795.3
